query,category,intent
今天有人去SJSU搞的international welcome吗？感受如何？,校园活动与设施,用户想了解international welcome活动
有用过SJSU学校泳池的嘛？怎么样啊,校园活动与设施,用户想了解SJSU学校泳池的体验
您好问一下在哪里交SJSU学费呢,学费、财务与奖学金,用户想了解学费信息
我有个课需要permission code才能上我从8月初给教授发邮件到现在都不回，这种怎么搞?,教授与课程,用户想了解permission code的申请
有人知道SJSU BBC 202 车停哪里近一点吗,交通与停车,用户想了解SJSU BBC 202的停车位置
有同学要租房子的嘛？ 在SJSU学校旁边 1300 带独立卫浴的  房东想要找中国学生,住宿与租房,用户想推荐附近的租房机会给中国学生
Financial aid 一般申请了学费什么时候免掉,学费、财务与奖学金,用户想了解Financial aid的学费减免时间
暑假里，SJSU学校健身房还开吗,校园活动与设施,用户想了解暑假期间SJSU健身房的开放情况
申请SJSU的ds的master，GRE是必须要提交还是可以不提交呢。,申请与转学,用户想了解申请政策
所以SJSU什么时候开学有人知道吗,时间安排,用户想知道开学时间
san jose 有人出代步车吗 8k内 穷捏,买卖车,用户想买二手车
想问下大家，SJSU的寒暑假日历在哪里呢？官网上好像没有呢,时间安排,用户想了解寒暑假日历
话说咱们grad公寓可以养宠物吗？,住宿与租房,用户想了解grad公寓的宠物政策
有没有学长了解the grad公寓租房的，要提供担保人国内的可以吗,住宿与租房,用户想了解grad公寓的担保政策
有人拿offer前有过学校interview的经验吗？🥺,申请与转学,用户想了解参加学校interview的经验
有人出二手车吗？[Whimper][Whimper][Whimper],买卖车,用户想买二手车
请问24fall的研究生什么时候开始选课呀,时间安排,用户想了解秋季课程的选课开始时间
想问下有financial aid的同学，暑假报的课是自费还是会报销,学费、财务与奖学金,用户想了解financial aid的政策
想问下，已经购买了保险，不属于学校要求的保险范围内，作为国际生上学还得强制性购买学校保险吗？,保险,用户想了解国际生的保险
学校的gym怎么样呀（虽然已经很久没去过了,校园活动与设施,用户想了解健身房的评价
有人上math70吗 有什么老师好吗,教授与课程,用户想了解相关课程信息
暑假里，学校健身房还开吗,校园活动与设施,用户想知道暑假期间健身房的开放情况
想问minor business怎么申请,申请与转学,用户想了解minor business的申请流程
elective是什么课呀,教授与课程,用户想了解elective课程
有没有人上过jewelry相关的课程 art 147/149,教授与课程,用户想了解相关课程信息
请问大家 Ge Core Area E: Human Understanding and Development 有什么推荐的课嘛？谢谢大家噜,教授与课程,用户想了解相关课程信息
友友们，作为留学生要出美国的话，有没有什么手续要办？,日常生活,用户想了解留学生离开美国的手续
大家好，想再请教一个问题：从sjsu转到uc会比较简单吗,申请与转学,用户想了解转学信息
我们什么时候可以选summer的课呀,时间安排,用户想知道summer课程的选课开始时间
想请教一下，什么时候可以收到转学生的credits transfer report呀？谢谢！,申请与转学,用户想了解credits transfer report的时间
有谁知道学校旁临时停车去哪里比较好呀,交通与停车,用户想知道临时停车的位置
想请问一下，官网上sjsu的国际生学费是1万3刀一年，但是会不会有很多的其他学杂费啊？,学费、财务与奖学金,用户想了解国际生学费
有木有人知道校医院可以免费验光吗？或者哪里有便宜的验光眼镜店啊？,日常生活,用户想知道如何验光
有人知道art foundry在哪嘛,校园活动与设施,用户想了解art foundry的位置
请问有人用过学校网站推荐的那个shuttle service吗？叫supershuttle，从SFO去学校坐这个靠谱不？,交通与停车,用户想了解super shuttle服务
如何申请OPT？需要准备哪些材料？,实习工作,用户想了解OPT申请
CPT实习有哪些公司容易接收国际学生？,实习工作,用户想了解CPT实习
在美国怎样开立银行账户？哪个银行对留学生比较友好？,银行,用户想了解开户
有没有推荐在美国买二手车的渠道？,买卖车,用户想买二手车
如何报税？留学生需要注意哪些事项？,日常生活,用户想了解报税政策
在美国留学期间，如果签证到期该怎么办？,签证,用户想了解签证政策
有没有推荐的学术写作或英语提升课程？,教授与课程,用户想提升英语水平
F1签证续签的流程是什么？有哪些注意事项？,签证,用户想了解F1签证续签
有没有人了解H1B抽签的具体流程和时间？,签证,用户想了解H1B抽签
美国的手机运营商哪家对国际学生比较友好？,日常生活,用户想了解手机运营商
如何申请校内或校外的奖学金？,学费、财务与奖学金,用户想了解奖学金申请
有没有推荐的SJSU附近的理发店？,日常生活,用户希望找到学校附近的理发店
在美国生病了，如何使用健康保险？看医生的流程是怎样的？,保险,用户想了解看病流程
SJSU附近有什么中国超市？哪家比较全？,日常生活,用户想找中国超市
有没有推荐的租房网站或平台？留学生租房需要注意什么？,住宿与租房,用户想了解租房信息
在美国打工需要申请什么许可证吗？,实习工作,用户想了解打工许可
有没有推荐的美国境内旅游路线，适合留学生的？,日常生活,用户想了解旅游路线
F1签证到期了，可以继续留在美国吗？,签证,用户想了解签证政策
如何在美国邮寄包裹回国，哪家快递比较便宜？,日常生活,用户想了解邮寄包裹
在美国换驾驶执照的流程是怎样的？,日常生活,用户想了解换驾照
有没有人知道如何申请校外实习的许可？,实习工作,用户想了解实习许可
学校的心理咨询服务如何预约？是否免费？,校园活动与设施,用户想了解心理咨询服务
如果被美国学校开除了，该怎么办？,学校政策,用户想知道如何应对被开除
想问问在美国申请信用卡需要注意什么事项？,银行,用户想了解信用卡申请
有没有推荐的美国留学生医疗保险，哪家性价比高？,保险,用户想了解医疗保险
有推荐的靠谱租房网站吗？离学校近的租房信息在哪找？,住宿与租房,用户想了解租房信息
请问在美国的哪些银行开户比较方便，适合留学生？,银行,用户想了解银行开户
有人知道如何在美国买车吗？有哪些性价比高的二手车推荐？,买卖车,用户想买二手车
请问在美国找实习有什么建议？哪些公司对国际生友好？,实习工作,用户想了解国际学生的实习
毕业后打算留在美国工作，如何申请H1B签证？流程复杂吗？,实习工作,用户想了解H1B签证
大家平时都用什么软件和国内家人朋友保持联系？有推荐的VPN吗？,日常生活,用户想了解和家人通讯的软件以及VPN
有谁知道在美国买什么品牌的电脑性价比高，适合学习和日常使用？,日常生活,用户想了解性价比高的电脑
在美国如何申请信用卡？哪些银行对留学生的审批比较友好？,银行,用户想了解对留学生友好的信用卡申请
有人了解美国大学的选课系统吗？选课有什么注意事项？,教授与课程,用户想了解选课系统
美国各大超市的优惠信息在哪里找？如何在购物时省钱？,日常生活,用户想了解超市的优惠信息
大家在美国买菜一般去哪里？哪个超市的亚洲食品比较全？,日常生活,用户想了解靠谱的亚洲超市
有人推荐一下美国大学周边有什么适合留学生打工的地方吗？,实习工作,用户想了解打工的地方
请问在美国做税务申报有推荐的代办机构吗？留学生有哪些税务优惠政策？,日常生活,用户想了解如何报税
美国驾照怎么考？有哪些需要准备的材料和注意事项？,日常生活,用户想了解如何考驾照
冬天来了，有什么适合美国天气的保暖衣物品牌推荐吗？,日常生活,用户想购买保暖衣物
学校附近有哪些好吃的餐馆？,日常生活,用户想找学校附近的餐馆
"在美国找实习时，如果没有车怎么解决通勤问题？
",日常生活,用户想解决通勤问题
